date,open,close,high,low,amount
2020-12-30,95.5,95.98,96.6,94.21,231644.06
2020-12-31,96.0,98.44,98.98,95.98,268671.76
2021-01-04,98.9,99.01,101.95,98.03,338826.8
2021-01-05,98.07,101.54,101.94,97.0,351148.01
2021-01-06,103.0,100.96,104.8,99.65,360203.38
2021-01-07,102.0,104.82,105.67,101.2,451400.52
2021-01-08,104.0,103.01,104.7,101.25,330690.48
2021-01-11,103.2,101.0,104.33,100.0,341891.87
2021-01-12,100.31,104.1,104.28,100.31,355295.86
2021-01-13,105.0,103.34,105.71,102.04,343487.39
2021-01-14,103.6,99.6,104.39,99.39,373815.28
2021-01-15,99.03,99.69,100.17,96.78,357438.23
2021-01-18,99.39,99.12,100.28,97.51,286771.8
2021-01-19,99.69,94.85,100.11,94.48,423078.07
2021-01-20,96.0,96.28,98.12,95.5,322023.27
2021-01-21,97.24,100.1,101.0,96.99,409301.71
2021-01-22,100.0,100.57,101.53,98.09,307755.82
2021-01-25,101.0,101.98,102.87,98.7,377359.92
2021-01-26,101.0,97.94,101.0,97.1,407670.26
2021-01-27,97.09,97.95,99.84,96.38,283268.51
2021-01-28,96.53,95.16,96.99,94.5,310572.14
2021-01-29,95.35,96.33,97.79,93.68,372465.08
2021-02-01,96.33,98.2,98.51,94.66,286062.71
2021-02-02,97.4,98.58,100.2,97.4,315443.55
2021-02-03,99.5,97.64,100.4,96.2,323955.36
2021-02-04,96.29,96.4,97.59,95.23,364864.02
2021-02-05,96.98,97.25,98.37,95.0,372623.93
2021-02-08,97.26,96.66,97.5,94.4,377435.63
2021-02-09,97.59,101.9,101.9,96.89,537122.47
2021-02-10,102.92,107.11,108.0,101.5,536799.07
2021-02-18,107.12,98.3,107.36,97.0,940429.08
2021-02-19,95.01,97.99,98.33,95.01,693877.09
2021-02-22,97.28,90.44,97.28,90.38,903986.09
2021-02-23,89.05,90.94,92.0,88.83,604755.31
2021-02-24,96.1,95.02,98.6,93.12,1003546.33
2021-02-25,94.9,93.94,95.79,92.1,416370.2
2021-02-26,92.0,93.08,94.49,91.02,601123.03
2021-03-01,93.4,93.33,95.3,91.83,370844.02
2021-03-02,94.87,93.52,95.84,92.7,473398.22
2021-03-03,92.73,93.49,93.72,91.5,330591.87
2021-03-04,92.22,89.9,92.58,89.44,446348.2
2021-03-05,87.57,89.5,90.27,86.03,409487.09
