date,value
2016-09-20,377.01
2016-09-25,375.72
2016-09-30,367.95
2016-10-05,367.95
2016-10-10,379.08
2016-10-15,379.47
2016-10-20,394.22
2016-10-25,404.84
2016-10-30,387.48
2016-11-04,386.96
2016-11-09,379.06
2016-11-14,390.98
2016-11-19,390.07
2016-11-24,384.89
2016-11-29,382.17
2016-12-04,376.99
2016-12-09,373.17
2016-12-14,357.73
2016-12-19,361.45
2016-12-24,353.65
2016-12-29,353.52
2017-01-03,359.43
2017-01-08,364.68
2017-01-13,355.62
2017-01-18,347.75
2017-01-23,352.6
2017-01-28,354.7
2017-02-02,354.7
2017-02-07,390.53
2017-02-12,386.46
2017-02-17,383.18
2017-02-22,404.04
2017-02-27,408.64
2017-03-04,404.31
2017-03-09,440.92
2017-03-14,451.42
2017-03-19,445.83
2017-03-24,481.25
2017-03-29,463.34
2017-04-03,465.6
2017-04-08,466.53
2017-04-13,435.62
2017-04-18,403.78
2017-04-23,405.51
2017-04-28,420.5
2017-05-03,419.17
2017-05-08,397.95
2017-05-13,375.4
2017-05-18,413.83
2017-05-23,393.0
2017-05-28,415.36
2017-06-02,418.55
2017-06-07,434.66
2017-06-12,424.66
2017-06-17,440.91
2017-06-22,460.77
2017-06-27,501.87
2017-07-02,554.09
2017-07-07,599.22
2017-07-12,547.15
2017-07-17,555.76
2017-07-22,636.44
2017-07-27,682.4
2017-08-01,676.99
2017-08-06,633.66
2017-08-11,666.02
2017-08-16,806.69
2017-08-21,871.68
2017-08-26,860.57
2017-08-31,791.69
2017-09-05,821.97
2017-09-10,766.56
2017-09-15,736.01
2017-09-20,774.75
2017-09-25,740.17
2017-09-30,745.03
2017-10-05,745.03
2017-10-10,781.28
2017-10-15,771.42
2017-10-20,694.76
2017-10-25,707.96
2017-10-30,726.29
2017-11-04,791.56
2017-11-09,823.77
2017-11-14,921.12
2017-11-19,932.51
2017-11-24,878.21
2017-11-29,931.67
2017-12-04,941.26
2017-12-09,840.16
2017-12-14,844.19
2017-12-19,828.77
2017-12-24,857.66
2017-12-29,821.27
2018-01-03,860.99
2018-01-08,850.71
2018-01-13,900.15
2018-01-18,852.24
2018-01-23,854.32
2018-01-28,836.13
2018-02-02,732.54
2018-02-07,650.46
2018-02-12,691.29
2018-02-17,693.65
2018-02-22,745.73
2018-02-27,765.03
2018-03-04,771.7
2018-03-09,807.11
2018-03-14,860.99
2018-03-19,875.57
2018-03-24,752.95
2018-03-29,820.58
2018-04-03,823.08
2018-04-08,792.67
2018-04-13,790.72
2018-04-18,795.03
2018-04-23,809.33
2018-04-28,732.95
2018-05-03,752.26
2018-05-08,782.6
2018-05-13,769.13
2018-05-18,773.85
2018-05-23,778.85
2018-05-28,763.85
2018-06-02,784.05
2018-06-07,773.43
2018-06-12,766.14
2018-06-17,739.49
2018-06-22,642.45
2018-06-27,640.78
2018-07-02,663.89
2018-07-07,646.4
2018-07-12,679.1
2018-07-17,669.31
2018-07-22,658.27
2018-07-27,666.39
2018-08-01,648.07
2018-08-06,574.97
2018-08-11,626.2
2018-08-16,611.62
2018-08-21,625.67
2018-08-26,610.18
2018-08-31,653.92
2018-09-05,653.5
2018-09-10,609.34
2018-09-15,616.25
2018-09-20,626.5
2018-09-25,605.37
2018-09-30,597.84
2018-10-05,597.84
2018-10-10,562.89
2018-10-15,472.07
2018-10-20,447.38
2018-10-25,464.54
2018-10-30,465.38
2018-11-04,517.9
2018-11-09,496.77
2018-11-14,508.28
2018-11-19,532.13
2018-11-24,518.95
2018-11-29,512.25
2018-12-04,529.41
2018-12-09,512.25
2018-12-14,517.69
2018-12-19,503.25
2018-12-24,496.56
2018-12-29,515.6
2019-01-03,532.34
2019-01-08,607.25
2019-01-13,606.21
2019-01-18,588.63
2019-01-23,593.86
2019-01-28,603.7
2019-02-02,596.37
2019-02-07,596.37
2019-02-12,614.37
2019-02-17,631.11
2019-02-22,642.2
2019-02-27,769.21
2019-03-04,771.52
2019-03-09,792.02
2019-03-14,749.54
2019-03-19,778.84
2019-03-24,761.89
2019-03-29,759.38
2019-04-03,782.82
2019-04-08,756.87
2019-04-13,733.01
2019-04-18,734.48
2019-04-23,709.58
2019-04-28,690.33
2019-05-03,676.1
2019-05-08,616.88
2019-05-13,624.41
2019-05-18,624.2
2019-05-23,611.86
2019-05-28,620.64
2019-06-02,608.51
2019-06-07,587.79
2019-06-12,610.18
2019-06-17,606.83
2019-06-22,679.44
2019-06-27,704.35
2019-07-02,728.83
2019-07-07,717.11
2019-07-12,690.33
2019-07-17,744.44
2019-07-22,718.03
2019-07-27,744.22
2019-08-01,714.29
2019-08-06,669.4
2019-08-11,651.58
2019-08-16,706.59
2019-08-21,725.96
2019-08-26,702.63
2019-08-31,723.97
2019-09-05,764.68
2019-09-10,774.37
2019-09-15,760.94
2019-09-20,744.88
2019-09-25,740.04
2019-09-30,701.09
2019-10-05,701.09
2019-10-10,747.74
2019-10-15,728.61
2019-10-20,764.44
2019-10-25,732.35
2019-10-30,725.97
2019-11-04,740.48
2019-11-09,758.51
2019-11-14,744.0
2019-11-19,744.66
2019-11-24,749.27
2019-11-29,724.65
2019-12-04,704.64
2019-12-09,715.42
2019-12-14,718.93
2019-12-19,746.2
2019-12-24,741.36
2019-12-29,754.11
2020-01-03,762.03
2020-01-08,792.59
2020-01-13,813.25
2020-01-18,790.61
2020-01-23,773.68
2020-01-28,773.68
2020-02-02,773.68
2020-02-07,854.37
2020-02-12,864.04
2020-02-17,869.32
2020-02-22,908.89
2020-02-27,901.2
2020-03-03,962.98
2020-03-08,920.1
2020-03-13,842.27
2020-03-18,783.35
2020-03-23,763.78
2020-03-28,791.27
2020-04-02,779.61
2020-04-07,786.65
2020-04-12,786.21
2020-04-17,761.37
2020-04-22,775.0
2020-04-27,721.13
2020-05-02,731.69
2020-05-07,745.32
2020-05-12,750.81
2020-05-17,734.76
2020-05-22,712.34
2020-05-27,696.95
2020-06-01,724.21
2020-06-06,733.88
2020-06-11,766.18
2020-06-16,770.79
2020-06-21,773.87
2020-06-26,803.98
2020-07-01,818.05
2020-07-06,865.96
2020-07-11,903.99
2020-07-16,813.87
2020-07-21,834.97
2020-07-26,790.14
2020-07-31,804.86
2020-08-05,822.44
2020-08-10,836.51
2020-08-15,845.08
2020-08-20,821.35
2020-08-25,838.05
2020-08-30,824.64
2020-09-04,812.77
2020-09-09,766.4
2020-09-14,769.91
2020-09-19,782.0
2020-09-24,757.17
2020-09-29,758.05
2020-10-04,753.21
2020-10-09,781.12
2020-10-14,800.69
2020-10-19,776.95
2020-10-24,763.76
2020-10-29,837.83
2020-11-03,883.54
2020-11-08,903.11
2020-11-13,936.29
2020-11-18,898.49
2020-11-23,903.33
2020-11-28,841.79
2020-12-03,865.3
2020-12-08,847.06
2020-12-13,843.54
2020-12-18,863.87
2020-12-23,869.43
2020-12-28,819.37
2021-01-02,909.25
2021-01-07,951.08
2021-01-12,986.0
2021-01-17,982.0
2021-01-22,1153.08
2021-01-27,1097.02
2021-02-01,1065.43
2021-02-06,971.77
2021-02-11,1191.35
2021-02-16,1191.35
2021-02-21,1147.96
2021-02-26,1072.55
2021-03-03,1101.02
2021-03-08,1023.6
2021-03-13,1088.34
2021-03-18,1023.38
2021-03-23,1020.49
2021-03-28,1058.98
2021-04-02,1081.0
2021-04-07,1067.65
2021-04-12,1005.14
2021-04-17,1030.05
2021-04-22,1116.82
2021-04-27,1139.96
2021-05-02,1133.95
2021-05-07,1083.89
2021-05-12,1195.35
2021-05-17,1195.13
2021-05-22,1205.59
2021-05-27,1358.87
2021-06-01,1359.17
2021-06-06,1311.13
2021-06-11,1283.32
2021-06-16,1302.9
2021-06-21,1469.93
2021-06-26,1407.65
2021-07-01,1454.58
2021-07-06,1419.22
2021-07-11,1365.62
2021-07-16,1398.72
2021-07-21,1415.51
