date,value
2016-09-20,3705.28
2016-09-25,3739.45
2016-09-30,3742.34
2016-10-05,3742.34
2016-10-10,3805.78
2016-10-15,3838.94
2016-10-20,3837.43
2016-10-25,3931.15
2016-10-30,3982.78
2016-11-04,3954.76
2016-11-09,3979.76
2016-11-14,3906.65
2016-11-19,3894.21
2016-11-24,3981.27
2016-11-29,4069.58
2016-12-04,4042.07
2016-12-09,4242.93
2016-12-14,4173.97
2016-12-19,4094.7
2016-12-24,4020.21
2016-12-29,4111.66
2017-01-03,4202.74
2017-01-08,4406.24
2017-01-13,4332.25
2017-01-18,4460.51
2017-01-23,4412.02
2017-01-28,4326.6
2017-02-02,4326.6
2017-02-07,4316.04
2017-02-12,4334.89
2017-02-17,4403.73
2017-02-22,4546.05
2017-02-27,4487.14
2017-03-04,4478.85
2017-03-09,4646.68
2017-03-14,4641.65
2017-03-19,4754.46
2017-03-24,4859.22
2017-03-29,4819.4
2017-04-03,4853.45
2017-04-08,4935.22
2017-04-13,5004.57
2017-04-18,5083.2
2017-04-23,5031.45
2017-04-28,5194.13
2017-05-03,5246.01
2017-05-08,5093.63
2017-05-13,5194.0
2017-05-18,5395.87
2017-05-23,5705.65
2017-05-28,5677.01
2017-06-02,5619.1
2017-06-07,5770.6
2017-06-12,5940.31
2017-06-17,5811.55
2017-06-22,5938.68
2017-06-27,6081.25
2017-07-02,5927.37
2017-07-07,5602.27
2017-07-12,5746.73
2017-07-17,5653.77
2017-07-22,5944.33
2017-07-27,5952.74
2017-08-01,6032.76
2017-08-06,5949.86
2017-08-11,6080.75
2017-08-16,6236.9
2017-08-21,6151.98
2017-08-26,6192.93
2017-08-31,6169.82
2017-09-05,6155.24
2017-09-10,5959.03
2017-09-15,6153.36
2017-09-20,6233.25
2017-09-25,6371.94
2017-09-30,6502.58
2017-10-05,6502.58
2017-10-10,6784.22
2017-10-15,6986.34
2017-10-20,7214.72
2017-10-25,7105.93
2017-10-30,7814.56
2017-11-04,8029.24
2017-11-09,8166.17
2017-11-14,8526.44
2017-11-19,8670.91
2017-11-24,7914.55
2017-11-29,8016.05
2017-12-04,8011.9
2017-12-09,7879.88
2017-12-14,8348.06
2017-12-19,8379.97
2017-12-24,8578.83
2017-12-29,8761.85
2018-01-03,8992.62
2018-01-08,9448.24
2018-01-13,9904.11
2018-01-18,9430.78
2018-01-23,9720.21
2018-01-28,9763.42
2018-02-02,9300.89
2018-02-07,8585.23
2018-02-12,8761.73
2018-02-17,9025.15
2018-02-22,9326.64
2018-02-27,9270.49
2018-03-04,9250.77
2018-03-09,9147.63
2018-03-14,9131.05
2018-03-19,9465.2
2018-03-24,8932.32
2018-03-29,8656.46
2018-04-03,8515.89
2018-04-08,8718.14
2018-04-13,8628.32
2018-04-18,8236.14
2018-04-23,8466.9
2018-04-28,8322.69
2018-05-03,8427.58
2018-05-08,8904.31
2018-05-13,9019.75
2018-05-18,9287.32
2018-05-23,9092.11
2018-05-28,9300.89
2018-06-02,9360.06
2018-06-07,9810.53
2018-06-12,10039.41
2018-06-17,9714.55
2018-06-22,9629.13
2018-06-27,9075.28
2018-07-02,8938.48
2018-07-07,8970.76
2018-07-12,9264.96
2018-07-17,9326.39
2018-07-22,9310.06
2018-07-27,9277.77
2018-08-01,8981.06
2018-08-06,8412.51
2018-08-11,8632.34
2018-08-16,8145.69
2018-08-21,8435.24
2018-08-26,8294.67
2018-08-31,8280.73
2018-09-05,8263.14
2018-09-10,8099.96
2018-09-15,8076.1
2018-09-20,8523.93
2018-09-25,8755.95
2018-09-30,9170.24
2018-10-05,9170.24
2018-10-10,8428.08
2018-10-15,8377.58
2018-10-20,8416.53
2018-10-25,7775.86
2018-10-30,6582.48
2018-11-04,7535.93
2018-11-09,7059.83
2018-11-14,6973.15
2018-11-19,7148.02
2018-11-24,6995.77
2018-11-29,6929.19
2018-12-04,7565.2
2018-12-09,7373.88
2018-12-14,7448.75
2018-12-19,7258.31
2018-12-24,7135.2
2018-12-29,7411.69
2019-01-03,7411.57
2019-01-08,7597.36
2019-01-13,7987.91
2019-01-18,8587.49
2019-01-23,8362.01
2019-01-28,8504.46
2019-02-02,8701.31
2019-02-07,8701.31
2019-02-12,9018.5
2019-02-17,9104.67
2019-02-22,9120.12
2019-02-27,9304.66
2019-03-04,9821.71
2019-03-09,9264.46
2019-03-14,9773.22
2019-03-19,9956.75
2019-03-24,9974.21
2019-03-29,10727.8
2019-04-03,10608.59
2019-04-08,11308.29
2019-04-13,11481.65
2019-04-18,11877.35
2019-04-23,12247.3
2019-04-28,11871.07
2019-05-03,12235.37
2019-05-08,11109.81
2019-05-13,11205.28
2019-05-18,11391.08
2019-05-23,10815.86
2019-05-28,11155.04
2019-06-02,11180.16
2019-06-07,10830.06
2019-06-12,11389.95
2019-06-17,11451.5
2019-06-22,12264.26
2019-06-27,12516.13
2019-07-02,12876.03
2019-07-07,12559.72
2019-07-12,12387.24
2019-07-17,12103.47
2019-07-22,12022.06
2019-07-27,12122.69
2019-08-01,12050.71
2019-08-06,11887.4
2019-08-11,12085.0
2019-08-16,13247.86
2019-08-21,13391.07
2019-08-26,13855.23
2019-08-31,14345.78
2019-09-05,14370.9
2019-09-10,14117.78
2019-09-15,13805.61
2019-09-20,14539.48
2019-09-25,14747.76
2019-09-30,14446.27
2019-10-05,14446.27
2019-10-10,14509.08
2019-10-15,15212.56
2019-10-20,14770.25
2019-10-25,14714.47
2019-10-30,14870.87
2019-11-04,15069.22
2019-11-09,15137.18
2019-11-14,15451.23
2019-11-19,15480.38
2019-11-24,14999.0
2019-11-29,14182.47
2019-12-04,14098.68
2019-12-09,14555.56
2019-12-14,14609.58
2019-12-19,14539.23
2019-12-24,14421.15
2019-12-29,14609.58
2020-01-03,13548.85
2020-01-08,13669.19
2020-01-13,14123.06
2020-01-18,13912.39
2020-01-23,13225.25
2020-01-28,13225.25
2020-02-02,13225.25
2020-02-07,13516.69
2020-02-12,13783.88
2020-02-17,13740.54
2020-02-22,13979.97
2020-02-27,13659.77
2020-03-03,13981.48
2020-03-08,14515.37
2020-03-13,13969.3
2020-03-18,12662.35
2020-03-23,12800.66
2020-03-28,13510.41
2020-04-02,14383.46
2020-04-07,14571.27
2020-04-12,14634.7
2020-04-17,15400.99
2020-04-22,15633.38
2020-04-27,16029.08
2020-05-02,15899.7
2020-05-07,16481.32
2020-05-12,16745.12
2020-05-17,16493.88
2020-05-22,16684.82
2020-05-27,16807.93
2020-06-01,17831.73
2020-06-06,17900.82
2020-06-11,17592.55
2020-06-16,17635.51
2020-06-21,18087.24
2020-06-26,18340.61
2020-07-01,18770.99
2020-07-06,20099.16
2020-07-11,21529.35
2020-07-16,20275.03
2020-07-21,20953.38
2020-07-26,20040.12
2020-07-31,21081.26
2020-08-05,20953.38
2020-08-10,20526.15
2020-08-15,20865.45
2020-08-20,20903.13
2020-08-25,21694.54
2020-08-30,22071.4
2020-09-04,22234.7
2020-09-09,21204.62
2020-09-14,22184.45
2020-09-19,21292.55
2020-09-24,20467.48
2020-09-29,20756.16
2020-10-04,20959.66
2020-10-09,21305.11
2020-10-14,21719.66
2020-10-19,21342.8
2020-10-24,21547.94
2020-10-29,21053.88
2020-11-03,21292.55
2020-11-08,21363.15
2020-11-13,21418.17
2020-11-18,21275.59
2020-11-23,22488.58
2020-11-28,21831.46
2020-12-03,21970.9
2020-12-08,23239.66
2020-12-13,22862.8
2020-12-18,23176.85
2020-12-23,23134.77
2020-12-28,23528.58
2021-01-02,25098.83
2021-01-07,26882.63
2021-01-12,27145.18
2021-01-17,26154.04
2021-01-22,26128.29
2021-01-27,26241.97
2021-02-01,26497.23
2021-02-06,29055.86
2021-02-11,32673.7
2021-02-16,32673.7
2021-02-21,30902.47
2021-02-26,26666.32
2021-03-03,26882.63
2021-03-08,24621.48
2021-03-13,25450.57
2021-03-18,25999.53
2021-03-23,25073.71
2021-03-28,25287.26
2021-04-02,27159.0
2021-04-07,25890.24
2021-04-12,25235.63
2021-04-17,25814.61
2021-04-22,25821.15
2021-04-27,26310.31
2021-05-02,25209.13
2021-05-07,23905.44
2021-05-12,24922.96
2021-05-17,25852.05
2021-05-22,25652.82
2021-05-27,28201.64
2021-06-01,28150.76
2021-06-06,28283.29
2021-06-11,27370.16
2021-06-16,27108.75
2021-06-21,26149.52
2021-06-26,26279.66
2021-07-01,26442.96
2021-07-06,25286.01
2021-07-11,24773.6
2021-07-16,24569.97
2021-07-21,24734.53
2021-07-26,22663.19
2021-07-31,21091.44
2021-08-05,21342.8
2021-08-10,22599.0
2021-08-15,21355.87
2021-08-20,19445.94
2021-08-25,20915.94
2021-08-30,19923.3
2021-09-04,20830.52
2021-09-09,20527.28
2021-09-14,20815.2
2021-09-19,21179.49
2021-09-24,21279.99
2021-09-29,22862.8
2021-10-04,22988.42
2021-10-09,23109.01
2021-10-14,24005.94
2021-10-19,22764.57
2021-10-24,23880.32
2021-10-29,22939.18
2021-11-03,22171.89
2021-11-08,22864.06
2021-11-13,22282.19
2021-11-18,22511.06
2021-11-23,23822.91
2021-11-28,24382.92
2021-12-03,24770.71
2021-12-08,25664.12
2021-12-13,26608.78
2021-12-18,25760.85
2021-12-23,26631.39
2021-12-28,26859.77
2022-01-02,25752.05
2022-01-07,24395.36
2022-01-12,24709.41
2022-01-17,23385.5
2022-01-22,24935.4
2022-01-27,24684.29
2022-02-01,23704.45
2022-02-06,23704.45
2022-02-11,23239.28
2022-02-16,23774.17
2022-02-21,23578.71
2022-02-26,22599.75
2022-03-03,22611.56
2022-03-08,22023.66
2022-03-13,22222.26
2022-03-18,21453.22
2022-03-23,22010.97
2022-03-28,20862.93
2022-04-02,22360.45
2022-04-07,22171.89
2022-04-12,22385.44
2022-04-17,22686.81
2022-04-22,22272.39
2022-04-27,22547.75
2022-05-02,22968.07
2022-05-07,22523.63
2022-05-12,22142.62
2022-05-17,22209.58
2022-05-22,22611.69
2022-05-27,22048.28
2022-06-01,22463.96
2022-06-06,22460.82
2022-06-11,23875.3
2022-06-16,23578.83
2022-06-21,24442.34
2022-06-26,25237.14
2022-07-01,25488.88
2022-07-06,25149.08
2022-07-11,24666.7
2022-07-16,24489.58
2022-07-21,24357.68
2022-07-26,24498.5
2022-07-31,23848.16
2022-08-05,24168.74
2022-08-10,23566.27
2022-08-15,24117.62
2022-08-20,23805.07
2022-08-25,23679.33
2022-08-30,23490.9
2022-09-04,23553.71
2022-09-09,23174.21
2022-09-14,23478.34
2022-09-19,23511.5
2022-09-24,23044.07
2022-09-29,23620.92
2022-10-04,23522.3
2022-10-09,23522.3
2022-10-14,21827.82
2022-10-19,20702.14
2022-10-24,18859.05
2022-10-29,17084.29
2022-11-03,18082.97
2022-11-08,18653.03
2022-11-13,19196.59
2022-11-18,19686.25
2022-11-23,19458.5
2022-11-28,18967.08
2022-12-03,20524.76
2022-12-08,21192.31
2022-12-13,21983.46
2022-12-18,22446.62
2022-12-23,22247.26
2022-12-28,21769.91
2023-01-02,21694.54
2023-01-07,22658.92
2023-01-12,23038.67
2023-01-17,23968.25
2023-01-22,23365.4
2023-01-27,23365.4
2023-02-01,23176.47
2023-02-06,22548.75
2023-02-11,22737.18
2023-02-16,23388.14
2023-02-21,23453.21
2023-02-26,22460.82
2023-03-03,22838.18
2023-03-08,22239.98
2023-03-13,22134.21
2023-03-18,21882.97
2023-03-23,22295.75
2023-03-28,22382.93
2023-04-02,22862.8
2023-04-07,22498.38
2023-04-12,21281.25
2023-04-17,22021.15
2023-04-22,21675.32
2023-04-27,22082.95
2023-05-02,22115.61
2023-05-07,21983.46
2023-05-12,21435.76
2023-05-17,21367.92
2023-05-22,21933.21
2023-05-27,21236.78
2023-06-01,20550.39
2023-06-06,20940.69
2023-06-11,20928.26
2023-06-16,22582.54
2023-06-21,21805.46
2023-06-26,21468.42
2023-07-01,21242.3
2023-07-06,21392.8
2023-07-11,21480.98
2023-07-16,22021.15
2023-07-21,22251.03
2023-07-26,22970.2
2023-07-31,23623.8
2023-08-05,23785.73
2023-08-10,23553.71
2023-08-15,22774.61
2023-08-20,22644.1
2023-08-25,22925.36
2023-08-30,23315.03
2023-09-04,23440.65
2023-09-09,22843.96
2023-09-14,22846.34
2023-09-19,22949.98
2023-09-24,23227.1
2023-09-29,22593.35
2023-10-04,22593.35
2023-10-09,22322.63
2023-10-14,21996.02
2023-10-19,20476.02
2023-10-24,20638.7
2023-10-29,21062.79
2023-11-03,22752.76
2023-11-08,22590.71
2023-11-13,22159.33
2023-11-18,22026.42
2023-11-23,22435.69
2023-11-28,22222.64
2023-12-03,22112.6
2023-12-08,21417.17
2023-12-13,20852.88
2023-12-18,20878.01
2023-12-23,20986.67
2023-12-28,21669.29
2024-01-02,21167.06
2024-01-07,20895.09
2024-01-12,20640.08
2024-01-17,19810.24
2024-01-22,20626.77
2024-01-27,20567.98
2024-02-01,20225.16
2024-02-06,21053.88
2024-02-11,21430.73
2024-02-16,21430.73
2024-02-21,21577.21
2024-02-26,21292.3
2024-03-02,21167.69
2024-03-07,21149.72
2024-03-12,21920.65
2024-03-17,21575.07
2024-03-22,21372.32
2024-03-27,21367.92
2024-04-01,21623.31
2024-04-06,21545.17
2024-04-11,20702.14
2024-04-16,20978.5
2024-04-21,20685.06
2024-04-26,21473.82
2024-05-01,21418.17
2024-05-06,22111.59
2024-05-11,21845.03
2024-05-16,21411.89
2024-05-21,21418.17
2024-05-26,21067.44
2024-05-31,20707.79
2024-06-05,20651.89
2024-06-10,20340.1
2024-06-15,19533.88
2024-06-20,18844.22
2024-06-25,18675.26
2024-06-30,18433.32
2024-07-05,18252.55
2024-07-10,18058.97
2024-07-15,18527.66
2024-07-20,19164.8
2024-07-25,17969.78
2024-07-30,17335.4
2024-08-04,17403.99
2024-08-09,18049.05
2024-08-14,17753.84
2024-08-19,17906.35
2024-08-24,17775.07
2024-08-29,17753.84
2024-09-03,17712.39
2024-09-08,17561.65
2024-09-13,16382.45
2024-09-18,15914.77
2024-09-23,15847.44
2024-09-28,20465.97
2024-10-03,21958.34
2024-10-08,21644.29
2024-10-13,20161.85
2024-10-18,19358.01
2024-10-23,19690.9
2024-10-28,19659.5
2024-11-02,19266.93
2024-11-07,20716.46
2024-11-12,19812.75
2024-11-17,19584.12
2024-11-22,18941.2
2024-11-27,19082.27
2024-12-02,19157.02
2024-12-07,19106.89
2024-12-12,19669.55
2024-12-17,19571.56
2024-12-22,19119.33
2024-12-27,19206.89
2025-01-01,19144.45
2025-01-06,18089.25
2025-01-11,18039.0
2025-01-16,18169.39
2025-01-21,18442.87
2025-01-26,18039.0
2025-01-31,18026.31
2025-02-05,17634.5
2025-02-10,17982.6
2025-02-15,18528.92
2025-02-20,18516.36
2025-02-25,18265.12
2025-03-02,18852.89
2025-03-07,19106.77
2025-03-12,19377.86
2025-03-17,20574.76
2025-03-22,19769.41
2025-03-27,19960.98
