date,value
2016-09-20,1536.22
2016-09-25,1554.5
2016-09-30,1516.57
2016-10-05,1516.57
2016-10-10,1549.59
2016-10-15,1562.41
2016-10-20,1550.4
2016-10-25,1552.04
2016-10-30,1534.85
2016-11-04,1510.03
2016-11-09,1502.93
2016-11-14,1513.85
2016-11-19,1508.12
2016-11-24,1519.3
2016-11-29,1516.3
2016-12-04,1493.66
2016-12-09,1439.1
2016-12-14,1339.52
2016-12-19,1374.98
2016-12-24,1368.98
2016-12-29,1346.34
2017-01-03,1359.43
2017-01-08,1358.62
2017-01-13,1334.33
2017-01-18,1312.51
2017-01-23,1332.97
2017-01-28,1328.06
2017-02-02,1328.06
2017-02-07,1346.07
2017-02-12,1353.98
2017-02-17,1324.79
2017-02-22,1363.25
2017-02-27,1371.44
2017-03-04,1391.63
2017-03-09,1368.71
2017-03-14,1357.52
2017-03-19,1350.16
2017-03-24,1354.52
2017-03-29,1331.33
2017-04-03,1310.05
2017-04-08,1353.16
2017-04-13,1430.91
2017-04-18,1407.72
2017-04-23,1417.82
2017-04-28,1415.36
2017-05-03,1331.33
2017-05-08,1331.06
2017-05-13,1310.33
2017-05-18,1319.6
2017-05-23,1331.06
2017-05-28,1339.79
2017-06-02,1348.79
2017-06-07,1377.71
2017-06-12,1377.71
2017-06-17,1392.72
2017-06-22,1385.08
2017-06-27,1404.18
2017-07-02,1362.71
2017-07-07,1382.35
2017-07-12,1359.71
2017-07-17,1336.79
2017-07-22,1377.44
2017-07-27,1339.52
2017-08-01,1338.43
2017-08-06,1323.42
2017-08-11,1305.42
2017-08-16,1316.6
2017-08-21,1327.51
2017-08-26,1328.06
2017-08-31,1322.88
2017-09-05,1333.52
2017-09-10,1359.16
2017-09-15,1456.83
2017-09-20,1686.54
2017-09-25,1644.8
2017-09-30,1863.32
2017-10-05,1863.32
2017-10-10,1926.61
2017-10-15,1847.5
2017-10-20,1870.14
2017-10-25,1786.39
2017-10-30,1705.91
2017-11-04,1752.83
2017-11-09,1854.86
2017-11-14,1855.14
2017-11-19,1734.83
2017-11-24,1928.8
2017-11-29,1755.56
2017-12-04,1730.46
2017-12-09,1630.07
2017-12-14,1736.74
2017-12-19,1699.36
2017-12-24,1696.9
2017-12-29,1774.66
2018-01-03,1803.85
2018-01-08,1779.02
2018-01-13,1830.04
2018-01-18,1723.37
2018-01-23,1822.67
2018-01-28,1786.93
2018-02-02,1688.72
2018-02-07,1606.88
