date,value
2016-09-20,279.97
2016-09-25,277.39
2016-09-30,267.87
2016-10-05,267.87
2016-10-10,274.22
2016-10-15,285.33
2016-10-20,280.76
2016-10-25,281.36
2016-10-30,276.8
2016-11-04,275.61
2016-11-09,275.21
2016-11-14,273.42
2016-11-19,276.2
2016-11-24,273.62
2016-11-29,274.22
2016-12-04,268.26
2016-12-09,267.07
2016-12-14,255.17
2016-12-19,262.78
2016-12-24,267.97
2016-12-29,270.14
2017-01-03,269.75
2017-01-08,269.95
2017-01-13,278.33
2017-01-18,283.42
2017-01-23,285.01
2017-01-28,291.4
2017-02-02,291.4
2017-02-07,287.01
2017-02-12,287.01
2017-02-17,280.82
2017-02-22,284.21
2017-02-27,291.4
2017-03-04,298.78
2017-03-09,291.4
2017-03-14,306.97
2017-03-19,313.55
2017-03-24,322.14
2017-03-29,313.35
2017-04-03,315.75
2017-04-08,334.31
2017-04-13,323.33
2017-04-18,325.93
2017-04-23,328.12
2017-04-28,338.3
2017-05-03,343.09
2017-05-08,321.94
2017-05-13,323.73
2017-05-18,310.36
2017-05-23,294.39
2017-05-28,295.99
2017-06-02,296.19
2017-06-07,308.56
2017-06-12,304.77
2017-06-17,312.16
2017-06-22,323.33
2017-06-27,342.49
2017-07-02,341.3
2017-07-07,365.45
2017-07-12,356.87
2017-07-17,358.66
2017-07-22,397.78
2017-07-27,398.78
2017-08-01,441.29
2017-08-06,426.52
2017-08-11,424.53
2017-08-16,399.18
2017-08-21,407.56
2017-08-26,412.95
2017-08-31,426.92
2017-09-05,463.25
2017-09-10,454.66
2017-09-15,533.5
2017-09-20,561.04
2017-09-25,556.45
2017-09-30,588.19
2017-10-05,588.19
2017-10-10,586.59
2017-10-15,568.83
2017-10-20,597.57
2017-10-25,606.55
2017-10-30,647.87
2017-11-04,637.89
2017-11-09,711.34
2017-11-14,769.42
2017-11-19,769.02
2017-11-24,717.72
2017-11-29,710.34
2017-12-04,693.17
2017-12-09,678.0
2017-12-14,730.7
2017-12-19,695.97
2017-12-24,779.79
2017-12-29,726.61
2018-01-03,748.34
2018-01-08,741.17
2018-01-13,731.59
2018-01-18,667.79
2018-01-23,762.9
2018-01-28,759.31
2018-02-02,752.93
2018-02-07,645.85
2018-02-12,655.82
2018-02-17,657.22
2018-02-22,677.36
2018-02-27,694.31
2018-03-04,713.25
2018-03-09,730.8
2018-03-14,733.79
2018-03-19,704.48
2018-03-24,678.55
2018-03-29,672.77
2018-04-03,675.96
2018-04-08,649.24
2018-04-13,645.26
2018-04-18,650.64
2018-04-23,679.55
2018-04-28,686.33
2018-05-03,689.32
2018-05-08,737.78
2018-05-13,756.52
2018-05-18,734.79
2018-05-23,745.18
2018-05-28,702.9
2018-06-02,623.94
2018-06-07,477.1
2018-06-12,484.63
2018-06-17,447.51
2018-06-22,452.81
2018-06-27,463.98
2018-07-02,444.43
2018-07-07,429.08
2018-07-12,425.45
2018-07-17,405.35
2018-07-22,420.99
2018-07-27,444.71
2018-08-01,437.74
2018-08-06,373.81
2018-08-11,396.42
2018-08-16,373.81
2018-08-21,348.4
2018-08-26,347.28
2018-08-31,379.67
2018-09-05,387.21
2018-09-10,357.34
2018-09-15,357.06
2018-09-20,354.54
2018-09-25,360.96
2018-09-30,396.42
2018-10-05,396.42
2018-10-10,375.2
2018-10-15,367.11
2018-10-20,368.5
2018-10-25,375.48
2018-10-30,360.13
2018-11-04,443.88
2018-11-09,460.63
2018-11-14,478.77
2018-11-19,485.88
2018-11-24,475.55
2018-11-29,517.41
2018-12-04,510.16
2018-12-09,533.6
2018-12-14,524.95
2018-12-19,491.18
2018-12-24,510.16
2018-12-29,486.71
2019-01-03,487.83
2019-01-08,516.29
2019-01-13,559.27
2019-01-18,621.51
2019-01-23,616.76
2019-01-28,618.72
2019-02-02,637.14
2019-02-07,637.14
2019-02-12,640.48
2019-02-17,658.62
2019-02-22,809.33
2019-02-27,747.37
2019-03-04,764.67
2019-03-09,706.35
2019-03-14,757.7
2019-03-19,759.37
2019-03-24,722.53
2019-03-29,728.39
2019-04-03,777.24
2019-04-08,756.03
2019-04-13,756.03
2019-04-18,881.41
2019-04-23,854.95
2019-04-28,822.34
2019-05-03,822.7
2019-05-08,803.85
2019-05-13,843.36
2019-05-18,873.44
2019-05-23,866.91
2019-05-28,870.9
2019-06-02,863.7
2019-06-07,794.47
2019-06-12,813.32
2019-06-17,778.16
2019-06-22,838.69
2019-06-27,839.78
2019-07-02,819.12
2019-07-07,812.23
2019-07-12,809.33
2019-07-17,835.06
2019-07-22,872.98
2019-07-27,944.01
2019-08-01,927.7
2019-08-06,902.34
2019-08-11,894.36
2019-08-16,884.22
2019-08-21,980.25
2019-08-26,951.26
2019-08-31,1001.99
2019-09-05,1092.14
2019-09-10,1046.87
2019-09-15,1055.55
2019-09-20,1039.33
2019-09-25,995.57
2019-09-30,989.53
2019-10-05,989.53
2019-10-10,1002.73
2019-10-15,995.19
2019-10-20,880.88
2019-10-25,877.49
2019-10-30,861.64
2019-11-04,860.13
2019-11-09,850.7
2019-11-14,841.27
2019-11-19,859.64
2019-11-24,865.3
2019-11-29,899.63
2019-12-04,920.37
2019-12-09,951.3
2019-12-14,943.0
2019-12-19,935.46
2019-12-24,921.13
2019-12-29,920.75
2020-01-03,1017.69
2020-01-08,1045.23
2020-01-13,1087.47
2020-01-18,1089.36
2020-01-23,1095.77
2020-01-28,1095.77
2020-02-02,1095.77
2020-02-07,1236.09
2020-02-12,1264.38
2020-02-17,1248.16
2020-02-22,1278.71
2020-02-27,1228.55
2020-03-03,1169.7
2020-03-08,1158.01
2020-03-13,1056.16
2020-03-18,916.98
