date,value
2016-09-20,4474.0
2016-09-25,4534.53
2016-09-30,4539.57
2016-10-05,4539.57
2016-10-10,4615.23
2016-10-15,4564.79
2016-10-20,4511.83
2016-10-25,4572.36
2016-10-30,4514.35
2016-11-04,4516.87
2016-11-09,4511.83
2016-11-14,4549.66
2016-11-19,4564.79
2016-11-24,4726.2
2016-11-29,4728.72
2016-12-04,4663.15
2016-12-09,4842.21
2016-12-14,4746.37
2016-12-19,4542.09
2016-12-24,4438.69
2016-12-29,4410.95
2017-01-03,4529.48
2017-01-08,4529.48
2017-01-13,4595.06
2017-01-18,4688.37
2017-01-23,4665.67
2017-01-28,4791.77
2017-02-02,4791.77
2017-02-07,4683.33
2017-02-12,4766.55
2017-02-17,4796.81
2017-02-22,4892.65
2017-02-27,4895.17
2017-03-04,4794.29
2017-03-09,4804.38
2017-03-14,4816.99
2017-03-19,4743.85
2017-03-24,4736.29
2017-03-29,4814.47
2017-04-03,4834.64
2017-04-08,4764.03
2017-04-13,4771.59
2017-04-18,4690.89
2017-04-23,4741.33
2017-04-28,4824.56
2017-05-03,4774.12
2017-05-08,4738.81
2017-05-13,5129.72
2017-05-18,5107.02
2017-05-23,5505.49
2017-05-28,5709.77
2017-06-02,5588.72
2017-06-07,5679.51
2017-06-12,5760.21
2017-06-17,5248.25
2017-06-22,5732.47
2017-06-27,6143.55
2017-07-02,6030.07
2017-07-07,5866.14
2017-07-12,6138.51
2017-07-17,6332.7
2017-07-22,6239.39
2017-07-27,6531.94
2017-08-01,6592.47
2017-08-06,6436.1
2017-08-11,6176.34
2017-08-16,6347.84
2017-08-21,6380.62
2017-08-26,6943.02
2017-08-31,6746.31
2017-09-05,6895.11
2017-09-10,6653.0
2017-09-15,6549.59
2017-09-20,6529.42
2017-09-25,6509.24
2017-09-30,6443.67
2017-10-05,6443.67
2017-10-10,6587.42
2017-10-15,6607.6
2017-10-20,6751.35
2017-10-25,6758.92
2017-10-30,7008.6
2017-11-04,6824.49
2017-11-09,6827.01
2017-11-14,7066.6
2017-11-19,7409.59
2017-11-24,7588.65
2017-11-29,7454.99
2017-12-04,7243.14
2017-12-09,7192.7
2017-12-14,7220.44
2017-12-19,7404.55
2017-12-24,7386.89
2017-12-29,7318.8
2018-01-03,7558.39
2018-01-08,7432.29
2018-01-13,7946.77
2018-01-18,8151.05
2018-01-23,8587.36
2018-01-28,8441.08
2018-02-02,8700.85
2018-02-07,8168.71
2018-02-12,7578.56
2018-02-17,7911.47
2018-02-22,7944.25
2018-02-27,7785.37
2018-03-04,7573.52
2018-03-09,7855.98
2018-03-14,7664.31
2018-03-19,7745.01
2018-03-24,7644.14
2018-03-29,7391.94
2018-04-03,7265.84
2018-04-08,7253.23
2018-04-13,7449.94
2018-04-18,7096.86
2018-04-23,7134.69
2018-04-28,7396.98
2018-05-03,7389.41
2018-05-08,7485.25
2018-05-13,7586.13
2018-05-18,7681.96
2018-05-23,7467.6
2018-05-28,7263.32
2018-06-02,7212.88
2018-06-07,7288.54
2018-06-12,7248.18
2018-06-17,7298.62
2018-06-22,7217.92
2018-06-27,6640.39
2018-07-02,6415.93
2018-07-07,6516.81
2018-07-12,6567.25
2018-07-17,6398.27
2018-07-22,6905.19
2018-07-27,7084.25
2018-08-01,7028.77
2018-08-06,6958.16
2018-08-11,7172.52
2018-08-16,6743.79
2018-08-21,6834.58
2018-08-26,6985.9
2018-08-31,7134.69
2018-09-05,6983.38
2018-09-10,7036.34
2018-09-15,7031.29
2018-09-20,7190.18
2018-09-25,7470.12
2018-09-30,7739.97
2018-10-05,7739.97
2018-10-10,7465.07
2018-10-15,7248.18
2018-10-20,7366.72
2018-10-25,7480.21
2018-10-30,7149.83
2018-11-04,7649.18
2018-11-09,7212.88
2018-11-14,7101.91
2018-11-19,7301.15
2018-11-24,7031.29
2018-11-29,7137.22
2018-12-04,7457.51
2018-12-09,7207.83
2018-12-14,7144.78
2018-12-19,6751.35
2018-12-24,6418.45
2018-12-29,6355.4
2019-01-03,6274.7
2019-01-08,6360.45
2019-01-13,6673.17
2019-01-18,6834.58
2019-01-23,6849.71
2019-01-28,7228.01
2019-02-02,7389.41
2019-02-07,7389.41
2019-02-12,7394.46
2019-02-17,7351.58
2019-02-22,7724.84
2019-02-27,7997.21
2019-03-04,8244.37
2019-03-09,7762.67
2019-03-14,7931.64
2019-03-19,8077.92
2019-03-24,8158.62
2019-03-29,8554.57
2019-04-03,8791.64
2019-04-08,9061.49
2019-04-13,8776.51
2019-04-18,8953.05
2019-04-23,8884.95
2019-04-28,8665.54
2019-05-03,8688.24
2019-05-08,8355.33
2019-05-13,8272.11
2019-05-18,8400.73
2019-05-23,8410.82
2019-05-28,8670.58
2019-06-02,8627.71
2019-06-07,8549.53
2019-06-12,8910.17
2019-06-17,8978.27
2019-06-22,9505.36
2019-06-27,9192.63
2019-07-02,9210.29
2019-07-07,9197.68
2019-07-12,8927.83
2019-07-17,8879.91
2019-07-22,9172.46
2019-07-27,9386.83
2019-08-01,9129.58
2019-08-06,8796.68
2019-08-11,8824.42
2019-08-16,8867.3
2019-08-21,8940.44
2019-08-26,8826.95
2019-08-31,8645.36
2019-09-05,8958.09
2019-09-10,8826.95
2019-09-15,8900.08
2019-09-20,8703.37
2019-09-25,8663.02
2019-09-30,8763.9
2019-10-05,8763.9
2019-10-10,8854.69
2019-10-15,9240.55
2019-10-20,9124.54
2019-10-25,9180.02
2019-10-30,8930.35
2019-11-04,9376.74
2019-11-09,9520.49
2019-11-14,9265.77
2019-11-19,9462.49
2019-11-24,9137.15
2019-11-29,9086.71
2019-12-04,9149.76
2019-12-09,9147.24
2019-12-14,9457.44
2019-12-19,9525.54
2019-12-24,9586.06
2019-12-29,9548.23
2020-01-03,9936.62
2020-01-08,9686.94
2020-01-13,9860.96
2020-01-18,9565.89
2020-01-23,9283.43
2020-01-28,9283.43
2020-02-02,9283.43
2020-02-07,8932.87
2020-02-12,8978.27
2020-02-17,9122.02
2020-02-22,8988.35
2020-02-27,8882.43
2020-03-03,8731.11
2020-03-08,8930.35
2020-03-13,8425.95
2020-03-18,7772.76
2020-03-23,7606.31
2020-03-28,8251.93
2020-04-02,8156.1
2020-04-07,8201.49
2020-04-12,8095.57
2020-04-17,8287.24
2020-04-22,8254.46
2020-04-27,8468.82
2020-05-02,8849.64
2020-05-07,8688.24
2020-05-12,8723.54
2020-05-17,8536.92
2020-05-22,8481.43
2020-05-27,8430.99
2020-06-01,8781.55
2020-06-06,8887.47
2020-06-11,8693.28
2020-06-16,8610.06
2020-06-21,8539.44
2020-06-26,8549.53
2020-07-01,8773.98
2020-07-06,10191.34
2020-07-11,9394.39
2020-07-16,8978.27
2020-07-21,9290.99
2020-07-26,8726.07
2020-07-31,8776.51
2020-08-05,9154.8
2020-08-10,9331.34
2020-08-15,9583.54
2020-08-20,9462.49
2020-08-25,9477.62
2020-08-30,9697.03
2020-09-04,9280.9
2020-09-09,9482.66
2020-09-14,9419.61
2020-09-19,9833.22
2020-09-24,9346.47
2020-09-29,9157.33
2020-10-04,9079.14
2020-10-09,9124.54
2020-10-14,9596.15
2020-10-19,10085.42
2020-10-24,10395.62
2020-10-29,10135.86
2020-11-03,10400.66
2020-11-08,10713.39
2020-11-13,10738.61
2020-11-18,11285.88
2020-11-23,11449.81
2020-11-28,11563.3
2020-12-03,11724.71
2020-12-08,11162.3
2020-12-13,10763.83
2020-12-18,10869.75
2020-12-23,10673.04
2020-12-28,10854.62
2021-01-02,11084.12
2021-01-07,11575.91
2021-01-12,12534.26
2021-01-17,12897.43
2021-01-22,13023.53
2021-01-27,13114.32
2021-02-01,13215.2
2021-02-06,13805.34
2021-02-11,13757.43
2021-02-16,13757.43
2021-02-21,13921.35
2021-02-26,12887.34
2021-03-03,13308.51
2021-03-08,12592.27
2021-03-13,13447.22
2021-03-18,13679.24
2021-03-23,13487.57
2021-03-28,13013.44
2021-04-02,12849.51
2021-04-07,12718.37
2021-04-12,12725.93
2021-04-17,12544.35
2021-04-22,13268.16
2021-04-27,13131.97
2021-05-02,13290.86
2021-05-07,13664.11
2021-05-12,13540.54
2021-05-17,14034.84
2021-05-22,13646.46
2021-05-27,14614.9
2021-06-01,14466.1
2021-06-06,14508.98
2021-06-11,14206.34
2021-06-16,14022.23
2021-06-21,13540.54
2021-06-26,14223.99
2021-07-01,14123.11
2021-07-06,13502.71
2021-07-11,12584.7
2021-07-16,12862.12
2021-07-21,12534.26
2021-07-26,12029.87
2021-07-31,11727.23
2021-08-05,11790.28
2021-08-10,12662.88
2021-08-15,12907.52
2021-08-20,12869.69
2021-08-25,12970.57
2021-08-30,12219.02
2021-09-04,13114.32
2021-09-09,13139.54
2021-09-14,13139.54
2021-09-19,12925.17
2021-09-24,12299.72
2021-09-29,13003.35
2021-10-04,12723.41
2021-10-09,12844.47
2021-10-14,13205.11
2021-10-19,13336.25
2021-10-24,13691.85
2021-10-29,13611.15
2021-11-03,13038.66
2021-11-08,12937.78
2021-11-13,13215.2
2021-11-18,12965.52
2021-11-23,13051.27
2021-11-28,12635.14
2021-12-03,12925.17
2021-12-08,13124.41
2021-12-13,13220.24
2021-12-18,12804.12
2021-12-23,12665.41
2021-12-28,12516.61
2022-01-02,12284.59
2022-01-07,12370.33
2022-01-12,12549.4
2022-01-17,12251.8
2022-01-22,13068.92
2022-01-27,12804.12
2022-02-01,12410.69
2022-02-06,12410.69
2022-02-11,13305.99
2022-02-16,12879.78
2022-02-21,13053.79
2022-02-26,12562.01
2022-03-03,12541.83
2022-03-08,11469.99
2022-03-13,11210.22
2022-03-18,11644.0
2022-03-23,11540.6
2022-03-28,11361.54
2022-04-02,11878.55
2022-04-07,11818.02
2022-04-12,11525.47
2022-04-17,11810.45
2022-04-22,10718.43
2022-04-27,9593.63
2022-05-02,10070.28
2022-05-07,9560.84
2022-05-12,9232.99
2022-05-17,9734.86
2022-05-22,10077.85
2022-05-27,9866.0
2022-06-01,10009.76
2022-06-06,9828.17
2022-06-11,10118.2
2022-06-16,10077.85
2022-06-21,10171.16
2022-06-26,10138.38
2022-07-01,10435.97
2022-07-06,10037.5
2022-07-11,9946.71
2022-07-16,8794.16
2022-07-21,8942.96
2022-07-26,9162.37
2022-07-31,8844.6
2022-08-05,8650.41
2022-08-10,8360.38
