date,value
2016-09-20,1962.94
2016-09-25,1956.88
2016-09-30,1953.25
2016-10-05,1953.25
2016-10-10,1988.38
2016-10-15,1994.44
2016-10-20,1998.08
2016-10-25,2042.91
2016-10-30,2036.85
2016-11-04,2040.49
2016-11-09,2018.68
2016-11-14,2138.63
2016-11-19,2085.32
2016-11-24,2132.58
2016-11-29,2176.2
2016-12-04,2103.5
2016-12-09,2033.22
2016-12-14,1967.79
2016-12-19,1949.61
2016-12-24,1937.49
2016-12-29,1929.01
2017-01-03,1961.73
2017-01-08,1939.92
2017-01-13,1964.15
2017-01-18,1971.42
2017-01-23,1992.02
2017-01-28,1996.87
2017-02-02,1996.87
2017-02-07,1975.06
2017-02-12,2019.89
2017-02-17,2019.89
2017-02-22,2035.64
2017-02-27,2004.14
2017-03-04,1983.54
2017-03-09,1978.69
2017-03-14,1983.54
2017-03-19,1976.27
2017-03-24,1973.84
2017-03-29,1955.67
2017-04-03,1952.03
2017-04-08,1972.63
2017-04-13,1973.84
2017-04-18,1942.34
2017-04-23,1969.0
2017-04-28,1966.57
2017-05-03,1944.76
2017-05-08,1897.51
2017-05-13,1896.3
2017-05-18,1899.93
2017-05-23,1905.99
2017-05-28,1985.96
2017-06-02,1984.75
2017-06-07,1983.54
2017-06-12,1990.81
2017-06-17,1976.27
2017-06-22,2047.76
2017-06-27,2073.2
2017-07-02,2062.3
2017-07-07,2053.82
2017-07-12,2087.74
2017-07-17,2059.87
2017-07-22,2122.88
2017-07-27,2111.98
2017-08-01,2127.73
2017-08-06,2127.73
2017-08-11,2044.12
2017-08-16,2069.57
2017-08-21,2036.85
2017-08-26,2076.84
2017-08-31,2208.91
2017-09-05,2204.07
2017-09-10,2153.17
2017-09-15,2184.68
2017-09-20,2195.58
2017-09-25,2190.74
2017-09-30,2204.07
2017-10-05,2204.07
2017-10-10,2208.91
2017-10-15,2181.04
2017-10-20,2154.39
2017-10-25,2162.87
2017-10-30,2116.82
2017-11-04,2092.59
2017-11-09,2214.97
2017-11-14,2198.01
2017-11-19,2217.39
2017-11-24,2303.42
2017-11-29,2322.81
2017-12-04,2294.94
2017-12-09,2242.84
2017-12-14,2198.01
2017-12-19,2213.76
2017-12-24,2204.07
2017-12-29,2193.16
2018-01-03,2254.96
2018-01-08,2367.64
2018-01-13,2342.2
2018-01-18,2594.23
2018-01-23,2570.0
2018-01-28,2706.92
2018-02-02,2607.56
2018-02-07,2368.86
2018-02-12,2099.86
2018-02-17,2136.21
2018-02-22,2182.26
2018-02-27,2211.34
2018-03-04,2160.44
2018-03-09,2285.25
2018-03-14,2265.86
2018-03-19,2246.47
2018-03-24,2144.69
2018-03-29,2218.61
2018-04-03,2327.66
2018-04-08,2303.42
2018-04-13,2292.52
2018-04-18,2276.77
2018-04-23,2245.26
2018-04-28,2301.0
2018-05-03,2373.7
2018-05-08,2416.11
2018-05-13,2361.59
2018-05-18,2390.67
2018-05-23,2364.01
2018-05-28,2332.5
2018-06-02,2250.11
2018-06-07,2302.21
2018-06-12,2280.4
2018-06-17,2233.15
2018-06-22,2004.14
2018-06-27,1943.55
2018-07-02,1943.55
2018-07-07,1959.3
2018-07-12,2008.98
2018-07-17,1978.69
2018-07-22,2039.28
2018-07-27,2040.49
2018-08-01,2006.56
2018-08-06,1927.8
2018-08-11,1983.54
2018-08-16,1932.65
2018-08-21,1958.09
2018-08-26,1938.71
2018-08-31,1936.28
2018-09-05,1929.01
2018-09-10,1868.43
2018-09-15,1899.93
2018-09-20,1955.67
2018-09-25,1988.38
2018-09-30,2022.31
2018-10-05,2022.31
2018-10-10,1956.88
2018-10-15,1819.96
2018-10-20,1863.58
2018-10-25,2102.28
2018-10-30,2096.23
2018-11-04,2155.6
2018-11-09,2050.18
2018-11-14,2065.93
2018-11-19,2189.53
2018-11-24,2011.41
2018-11-29,2015.04
2018-12-04,2132.58
2018-12-09,2065.93
2018-12-14,2041.7
2018-12-19,1989.6
2018-12-24,1939.92
2018-12-29,1939.92
2019-01-03,1939.92
2019-01-08,1939.92
2019-01-13,2056.24
2019-01-18,2166.5
2019-01-23,2122.88
2019-01-28,2181.04
2019-02-02,2251.32
2019-02-07,2251.32
2019-02-12,2298.58
2019-02-17,2258.59
2019-02-22,2717.82
2019-02-27,2914.12
2019-03-04,2967.43
2019-03-09,2917.75
2019-03-14,2831.72
