date,open,close,high,low,amount
2020-12-30,180.66,186.0,191.95,180.66,510431.08
2020-12-31,188.86,194.3,195.83,184.26,505119.42
2021-01-04,189.0,206.76,211.16,187.09,589501.61
2021-01-05,206.0,219.9,221.23,202.01,545305.97
2021-01-06,219.72,216.3,222.18,212.0,434652.14
2021-01-07,216.6,225.04,228.32,214.2,428602.54
2021-01-08,233.0,227.51,234.32,220.7,426758.36
2021-01-11,234.59,234.86,245.0,230.98,534254.66
2021-01-12,231.8,236.99,239.75,220.0,433124.58
2021-01-13,238.0,239.3,249.88,229.69,480347.87
2021-01-14,232.0,223.95,235.45,222.34,445955.02
2021-01-15,222.0,225.2,228.92,216.5,377050.46
2021-01-18,220.0,221.69,224.0,216.26,263789.33
2021-01-19,222.06,216.2,225.2,213.56,276250.13
2021-01-20,219.9,222.0,226.3,218.01,381401.08
2021-01-21,220.0,235.52,239.6,216.81,585709.87
2021-01-22,235.72,242.92,243.66,231.51,423886.78
2021-01-25,246.5,260.0,262.95,245.0,559388.94
2021-01-26,257.0,254.22,262.59,250.99,394555.44
2021-01-27,250.2,257.0,259.44,234.5,521351.0
2021-01-28,245.97,244.36,252.5,242.98,326461.75
2021-01-29,249.0,247.0,250.43,237.5,335982.69
2021-02-01,245.0,246.89,250.13,239.0,263794.5
2021-02-02,252.0,267.5,268.0,250.5,471099.97
2021-02-03,268.1,263.0,273.37,260.3,384029.52
2021-02-04,258.0,259.9,264.89,255.34,310350.9
2021-02-05,262.0,249.0,268.28,247.5,480550.51
2021-02-08,248.99,250.2,252.98,240.01,372461.77
2021-02-09,253.1,257.0,259.02,247.5,374954.28
2021-02-10,261.0,266.95,270.66,253.0,418938.71
2021-02-18,268.86,258.99,268.86,255.33,472645.58
2021-02-19,254.9,257.35,257.66,245.73,382587.02
2021-02-22,256.6,239.52,256.66,239.45,427130.93
2021-02-23,229.59,225.0,235.02,222.9,476510.22
2021-02-24,225.0,208.99,228.59,203.6,676485.18
2021-02-25,215.77,209.25,215.85,205.8,369532.22
2021-02-26,196.5,197.27,204.0,194.0,503616.02
2021-03-01,201.0,210.9,210.99,197.5,444293.51
2021-03-02,214.65,211.4,215.8,205.22,387928.35
2021-03-03,205.0,209.75,210.3,201.97,263061.8
2021-03-04,205.0,198.5,205.1,197.3,346849.91
2021-03-05,187.37,196.37,199.51,186.18,325319.09
2021-03-08,196.37,176.73,197.33,176.73,591328.23
2021-03-09,172.41,170.68,178.6,162.03,599204.95
2021-03-10,180.0,177.19,181.88,175.78,431507.17
2021-03-11,176.95,182.97,185.0,174.1,367827.9
2021-03-12,186.17,181.68,187.99,178.9,301848.22
2021-03-15,178.55,174.26,181.0,172.0,295602.39
2021-03-16,177.58,176.47,179.1,173.37,197056.4
2021-03-17,174.02,176.88,179.97,171.48,213705.28
2021-03-18,178.79,178.55,180.63,177.28,201064.37
2021-03-19,173.0,171.15,175.37,169.66,258227.22
2021-03-22,172.33,173.8,175.48,170.01,185682.91
2021-03-23,175.8,168.97,176.18,166.3,226648.97
2021-03-24,167.99,162.74,169.24,162.0,248269.3
2021-03-25,157.0,161.2,163.45,155.6,256190.64
2021-03-26,163.01,170.99,172.0,162.9,328530.32
2021-03-29,170.01,168.1,170.48,164.8,234728.64
2021-03-30,161.0,169.0,169.0,159.1,338930.9
2021-03-31,169.21,164.51,172.64,162.56,270153.03
2021-04-01,168.0,169.07,171.9,167.01,299957.8
2021-04-02,170.99,175.87,178.2,168.58,349532.0
2021-04-06,176.8,176.09,179.24,172.8,255909.85
2021-04-07,177.15,170.99,178.08,169.5,281703.5
2021-04-08,169.0,170.48,171.5,167.12,160043.06
2021-04-09,171.9,166.72,172.1,166.0,204995.77
2021-04-12,166.73,163.46,169.39,162.6,201268.0
2021-04-13,163.48,164.01,167.63,163.48,158578.94
2021-04-14,167.0,170.95,171.0,167.0,298473.17
2021-04-15,168.5,165.5,168.65,163.5,249912.13
2021-04-16,165.4,165.3,166.4,160.33,234599.44
2021-04-19,165.0,176.05,177.0,164.18,507350.5
2021-04-20,175.0,171.24,175.0,169.78,375677.03
2021-04-21,169.0,168.59,170.59,167.17,230488.88
2021-04-22,170.0,168.71,171.78,167.22,197508.44
2021-04-23,167.18,169.25,171.38,166.27,228827.99
2021-04-26,170.0,167.5,173.0,167.25,319514.1
2021-04-27,166.0,164.94,167.4,163.4,255639.21
2021-04-28,164.86,165.5,168.54,162.96,218411.98
2021-04-29,163.0,162.95,164.93,162.2,275854.04
2021-04-30,161.49,158.57,162.2,156.71,359899.14
2021-05-06,157.0,150.0,157.0,150.0,423158.08
2021-05-07,148.12,143.95,149.96,143.39,377980.38
2021-05-10,143.95,147.0,148.35,141.44,260738.75
2021-05-11,143.7,146.56,148.76,140.97,269639.96
2021-05-12,148.26,153.73,155.0,148.26,384659.14
2021-05-13,150.75,148.99,151.0,148.56,212696.09
2021-05-14,147.9,153.53,154.1,146.31,300278.66
2021-05-17,155.43,159.78,160.88,154.45,363002.56
2021-05-18,160.0,158.7,161.8,156.88,194952.12
2021-05-19,159.9,172.78,174.0,159.88,596490.87
2021-05-20,170.0,172.94,177.56,169.1,499888.48
2021-05-21,174.01,173.2,177.99,170.1,334965.51
2021-05-24,171.91,173.47,175.5,169.98,271722.87
2021-05-25,175.0,176.52,178.0,172.7,331522.87
2021-05-26,178.0,176.17,184.58,176.0,345577.99
2021-05-27,179.0,177.45,179.68,174.5,234026.1
2021-05-28,177.45,181.68,185.0,176.07,371194.87
2021-05-31,175.26,178.7,179.11,170.18,437553.16
2021-06-01,178.73,189.46,190.9,178.73,513604.12
2021-06-02,190.0,186.5,191.85,185.2,294349.64
2021-06-03,186.6,183.9,187.5,180.18,250800.57
2021-06-04,181.61,189.4,192.0,180.52,319848.39
2021-06-07,191.0,190.35,192.87,187.0,254518.02
2021-06-08,194.0,202.81,205.6,193.25,559238.56
2021-06-09,202.9,202.0,203.5,197.02,316555.82
2021-06-10,202.05,214.11,216.05,201.0,441000.32
2021-06-11,214.3,227.02,229.95,212.08,540085.11
2021-06-15,231.54,232.32,237.8,224.87,518100.75
2021-06-16,226.0,211.0,231.66,210.66,618175.9
2021-06-17,210.96,232.1,232.1,210.83,519977.58
2021-06-18,236.0,245.0,252.32,234.65,571896.01
2021-06-21,243.88,242.58,249.56,232.13,430526.35
2021-06-22,243.0,237.88,247.0,236.0,316428.08
2021-06-23,233.0,243.3,249.8,232.5,394500.6
2021-06-24,244.0,244.89,251.87,240.18,312285.04
2021-06-25,247.0,244.99,248.66,238.0,296502.36
2021-06-28,244.99,253.63,255.0,243.52,347271.98
2021-06-29,257.4,253.3,259.6,250.0,306257.54
2021-06-30,250.0,251.0,256.5,246.0,285407.31
2021-07-01,251.0,236.6,252.5,235.6,422602.87
2021-07-02,233.0,239.04,243.5,228.89,374260.13
2021-07-05,236.04,249.55,250.0,235.57,324901.16
2021-07-06,255.0,250.5,261.02,241.0,517916.7
2021-07-07,244.0,255.09,258.6,240.88,386386.56
2021-07-08,253.0,251.96,261.54,251.12,393909.95
2021-07-09,250.88,248.82,254.99,241.88,364946.99
2021-07-12,253.3,266.48,272.91,251.5,560057.08
2021-07-13,266.49,265.1,269.73,260.22,277313.91
2021-07-14,261.0,245.29,261.0,245.0,612716.86
2021-07-15,239.0,236.4,243.55,230.0,551898.67
2021-07-16,235.75,222.92,235.75,221.03,562741.48
2021-07-19,220.0,223.97,231.99,214.3,372187.23
2021-07-20,220.0,227.5,229.46,219.11,246749.66
2021-07-21,231.2,241.23,244.99,230.01,471511.19
2021-07-22,246.3,248.96,249.44,240.17,374773.27
2021-07-23,247.44,258.68,262.0,245.08,460562.27
2021-07-26,250.58,248.55,259.74,241.01,404428.24
2021-07-27,246.0,238.71,257.88,237.2,377707.2
2021-07-28,229.99,236.5,241.1,223.99,332198.63
2021-07-29,246.94,257.2,257.3,242.82,428851.05
2021-07-30,257.19,264.71,268.3,252.13,457993.99
