date,value
2016-09-20,1021.28
2016-09-25,1044.28
2016-09-30,1034.19
2016-10-05,1034.19
2016-10-10,1061.19
2016-10-15,1078.09
2016-10-20,1092.88
2016-10-25,1079.97
2016-10-30,1085.03
2016-11-04,1073.99
2016-11-09,1085.26
2016-11-14,1059.2
2016-11-19,1068.83
2016-11-24,1094.65
2016-11-29,1088.31
2016-12-04,1104.28
2016-12-09,1101.19
2016-12-14,1097.2
2016-12-19,1097.67
2016-12-24,1064.1
2016-12-29,1068.33
2017-01-03,1079.83
2017-01-08,1079.6
2017-01-13,1071.85
2017-01-18,1092.04
2017-01-23,1117.63
2017-01-28,1122.79
2017-02-02,1122.79
2017-02-07,1125.61
2017-02-12,1122.32
2017-02-17,1152.13
2017-02-22,1172.79
2017-02-27,1192.74
2017-03-04,1169.03
2017-03-09,1200.96
2017-03-14,1194.62
2017-03-19,1219.74
2017-03-24,1255.42
2017-03-29,1252.37
2017-04-03,1275.37
2017-04-08,1287.11
2017-04-13,1271.38
2017-04-18,1290.16
2017-04-23,1321.15
2017-04-28,1258.94
2017-05-03,1260.82
2017-05-08,1284.53
2017-05-13,1313.64
2017-05-18,1381.01
2017-05-23,1413.17
2017-05-28,1382.42
2017-06-02,1410.73
2017-06-07,1418.05
2017-06-12,1443.12
2017-06-17,1446.79
2017-06-22,1394.67
2017-06-27,1439.46
2017-07-02,1425.06
2017-07-07,1375.21
2017-07-12,1382.25
2017-07-17,1381.4
2017-07-22,1405.91
2017-07-27,1421.68
2017-08-01,1445.06
2017-08-06,1412.11
2017-08-11,1496.9
2017-08-16,1523.09
2017-08-21,1543.66
2017-08-26,1540.56
2017-08-31,1525.06
2017-09-05,1639.99
2017-09-10,1674.08
2017-09-15,1640.27
2017-09-20,1658.58
2017-09-25,1637.17
2017-09-30,1688.16
2017-10-05,1688.16
2017-10-10,1716.05
2017-10-15,1772.1
2017-10-20,1830.41
2017-10-25,1881.96
2017-10-30,1831.26
2017-11-04,2026.75
2017-11-09,1999.42
2017-11-14,1889.28
2017-11-19,1907.59
2017-11-24,1837.73
2017-11-29,1839.42
2017-12-04,1898.86
2017-12-09,1843.09
2017-12-14,1961.68
2017-12-19,1933.51
2017-12-24,2006.47
2017-12-29,1943.09
2018-01-03,1938.86
2018-01-08,2007.31
2018-01-13,2101.68
2018-01-18,2050.69
2018-01-23,2172.36
2018-01-28,2185.39
2018-02-02,2104.09
2018-02-07,1917.42
2018-02-12,2010.33
2018-02-17,2037.52
2018-02-22,2052.82
2018-02-27,2086.81
2018-03-04,2089.64
2018-03-09,2248.84
2018-03-14,2263.57
2018-03-19,2445.99
2018-03-24,2396.99
2018-03-29,2345.43
2018-04-03,2403.79
2018-04-08,2382.54
2018-04-13,2296.71
2018-04-18,2323.9
2018-04-23,2387.64
2018-04-28,2364.69
2018-05-03,2347.98
2018-05-08,2423.61
2018-05-13,2534.65
2018-05-18,2613.4
2018-05-23,2681.38
2018-05-28,2868.34
2018-06-02,2725.38
2018-06-07,3019.97
2018-06-12,2896.61
2018-06-17,2796.82
2018-06-22,2908.02
2018-06-27,2815.23
2018-07-02,2776.56
2018-07-07,2576.97
2018-07-12,2713.96
2018-07-17,2678.98
2018-07-22,2716.17
2018-07-27,2592.44
2018-08-01,2515.48
2018-08-06,2277.59
2018-08-11,2578.81
2018-08-16,2475.71
2018-08-21,2467.24
2018-08-26,2502.96
2018-08-31,2435.94
2018-09-05,2385.85
2018-09-10,2356.03
2018-09-15,2140.6
2018-09-20,2179.64
2018-09-25,2264.7
2018-09-30,2338.35
2018-10-05,2338.35
2018-10-10,2140.97
2018-10-15,2120.72
2018-10-20,2084.26
2018-10-25,2091.63
2018-10-30,2149.44
2018-11-04,2489.33
2018-11-09,2373.84
2018-11-14,2361.32
2018-11-19,2331.12
2018-11-24,2306.08
2018-11-29,2358.0
2018-12-04,2465.15
2018-12-09,2149.6
2018-12-14,2168.74
2018-12-19,2029.19
2018-12-24,1957.39
2018-12-29,1942.3
2019-01-03,1880.44
2019-01-08,1987.59
2019-01-13,2060.12
2019-01-18,2178.69
2019-01-23,2136.34
2019-01-28,2018.51
2019-02-02,2241.74
2019-02-07,2241.74
2019-02-12,2340.52
2019-02-17,2369.64
2019-02-22,2443.73
2019-02-27,2535.87
2019-03-04,2663.77
2019-03-09,2567.57
2019-03-14,2582.31
2019-03-19,2657.51
2019-03-24,2695.47
2019-03-29,2893.55
2019-04-03,2900.63
2019-04-08,2829.86
2019-04-13,2858.16
2019-04-18,2836.49
2019-04-23,2779.43
2019-04-28,2756.88
2019-05-03,2908.15
2019-05-08,2840.92
2019-05-13,2838.26
2019-05-18,2775.9
2019-05-23,2636.57
2019-05-28,2765.28
2019-06-02,2749.22
2019-06-07,2564.35
2019-06-12,2669.17
2019-06-17,2724.45
2019-06-22,2914.63
2019-06-27,2958.86
2019-07-02,3105.26
2019-07-07,2980.98
2019-07-12,2938.96
2019-07-17,2929.67
2019-07-22,2942.94
2019-07-27,2955.32
2019-08-01,2951.34
2019-08-06,2863.33
2019-08-11,2957.98
2019-08-16,3057.05
2019-08-21,3171.6
2019-08-26,3341.44
2019-08-31,3540.46
2019-09-05,3471.02
2019-09-10,3563.46
2019-09-15,3476.33
2019-09-20,3604.59
2019-09-25,3663.42
2019-09-30,3568.33
2019-10-05,3568.33
2019-10-10,3670.94
2019-10-15,3770.45
2019-10-20,3727.11
2019-10-25,3871.73
2019-10-30,3988.49
2019-11-04,4077.83
2019-11-09,4038.03
2019-11-14,4172.04
2019-11-19,4229.54
2019-11-24,3935.42
2019-11-29,3799.2
2019-12-04,3788.14
2019-12-09,3698.36
2019-12-14,3841.21
2019-12-19,3753.2
2019-12-24,3737.28
2019-12-29,3731.97
2020-01-03,3801.41
2020-01-08,3745.24
2020-01-13,3885.0
2020-01-18,4009.72
2020-01-23,3891.63
2020-01-28,3891.63
2020-02-02,3891.63
2020-02-07,3965.05
2020-02-12,4111.45
2020-02-17,4085.8
2020-02-22,3989.38
2020-02-27,3857.14
2020-03-03,3907.11
2020-03-08,4080.05
2020-03-13,3746.12
2020-03-18,3564.79
2020-03-23,3639.98
2020-03-28,4019.9
2020-04-02,4062.35
2020-04-07,4223.79
2020-04-12,4255.19
2020-04-17,4272.44
2020-04-22,4311.73
2020-04-27,4260.88
2020-05-02,4112.73
2020-05-07,4271.93
2020-05-12,4220.64
2020-05-17,4193.66
2020-05-22,4240.09
2020-05-27,4238.5
2020-06-01,4257.08
2020-06-06,4367.46
2020-06-11,4482.08
2020-06-16,4624.3
2020-06-21,4934.22
2020-06-26,4932.62
2020-07-01,4831.8
2020-07-06,4942.18
2020-07-11,5272.26
2020-07-16,5113.05
2020-07-21,5269.6
2020-07-26,5030.27
2020-07-31,5008.51
2020-08-05,4924.13
2020-08-10,4818.0
2020-08-15,4749.54
2020-08-20,4866.29
2020-08-25,4987.81
2020-08-30,5062.11
2020-09-04,4962.34
2020-09-09,4792.0
2020-09-14,4848.25
2020-09-19,4721.95
2020-09-24,4662.51
2020-09-29,4770.24
2020-10-04,4766.52
2020-10-09,4879.56
2020-10-14,4935.28
2020-10-19,4856.74
2020-10-24,4677.9
2020-10-29,4854.0
2020-11-03,4806.54
2020-11-08,4739.36
2020-11-13,4558.62
2020-11-18,4617.8
2020-11-23,4591.67
2020-11-28,4635.93
2020-12-03,4798.01
2020-12-08,4802.28
2020-12-13,4771.89
2020-12-18,5633.49
2020-12-23,5651.62
2020-12-28,5918.21
2021-01-02,5942.73
2021-01-07,6131.47
2021-01-12,6083.49
2021-01-17,5855.82
2021-01-22,6003.51
2021-01-27,5684.68
2021-02-01,5467.68
2021-02-06,5720.93
2021-02-11,5822.24
2021-02-16,5822.24
2021-02-21,5606.83
2021-02-26,5427.69
2021-03-03,5403.7
2021-03-08,4911.58
2021-03-13,4915.31
2021-03-18,4756.42
2021-03-23,4673.25
2021-03-28,4863.59
2021-04-02,4941.44
2021-04-07,4834.8
2021-04-12,4773.49
2021-04-17,4298.43
2021-04-22,4382.67
2021-04-27,4427.99
2021-05-02,4483.97
2021-05-07,4264.84
2021-05-12,4434.92
2021-05-17,4552.22
2021-05-22,4381.07
